City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Thompson,CA,55.7435,-97.8558,32.16,93,75,5.75,Snow
281,Arlit,NE,18.7369,7.3853,99.19,8,22,6.13,Clouds
282,Rawson,AR,-43.3002,-65.1023,56.57,35,1,29.19,Clear
283,Brae,GB,60.3964,-1.353,51.71,84,100,24.25,Clouds
284,Seymchan,RU,62.8833,152.4333,6.26,87,100,7.47,Clouds
285,Lengshuitan,CN,26.4111,111.5956,64.6,79,100,3.36,Clouds
286,Marzuq,YE,14.4,46.4667,78.42,42,99,6.4,Clouds
287,Susner,IN,23.95,76.0833,69.13,44,3,4.99,Clear
288,Whitehorse,CA,60.7161,-135.0538,31.01,69,75,14.97,Clouds
289,Madisonville,US,37.3281,-87.4989,54.03,99,100,5.99,Clouds
290,Severo-Yeniseyskiy,RU,60.3725,93.0408,16.81,85,100,13.15,Clouds
291,Ayan,RU,56.45,138.1667,24.31,50,2,13.6,Clear
292,Batobato,PH,6.8252,126.0846,78.78,83,100,4.18,Clouds
293,Kendari,ID,-3.945,122.4989,75.27,93,52,1.95,Clouds
294,Swan River,CA,52.1058,-101.2676,33.69,80,21,12.66,Clouds
295,Archidona,ES,37.0965,-4.3887,71.42,68,100,11.79,Clouds
296,Lysa Hora,UA,48.1706,31.1099,51.76,56,0,7.14,Clear
297,Flin Flon,CA,54.7682,-101.865,33.64,80,75,5.75,Clouds
298,Alyangula,AU,-13.8483,136.4192,76.87,94,100,0.0,Clouds
299,Staryy Nadym,RU,65.6118,72.6842,11.55,91,100,18.12,Clouds
300,Cherskiy,RU,68.75,161.3,-5.04,99,100,4.29,Snow
301,Calbuco,CL,-41.768,-73.1273,56.41,66,1,16.53,Clear
302,Birin,NP,26.8865,88.0718,53.78,88,32,2.28,Clouds
303,Teluknaga,ID,-6.0989,106.6381,79.18,83,40,10.0,Haze
304,Beshpagir,RU,45.0217,42.3808,47.12,64,34,11.12,Clouds
305,Lexington,US,37.9887,-84.4777,54.99,90,90,1.01,Clouds
306,Surt,LY,31.2089,16.5887,75.87,46,0,9.26,Clear
307,Loa Janan,ID,-0.583,117.095,73.56,99,99,2.13,Clouds
308,Constitucion,CL,-35.3333,-72.4167,64.71,58,100,12.21,Clouds
309,Torbay,CA,47.6666,-52.7314,51.76,53,20,11.5,Clouds
310,Yuzhno-Kurilsk,RU,44.0306,145.8556,45.16,82,31,8.63,Clouds
311,Havelock,US,34.8791,-76.9013,63.99,71,1,3.0,Clear
312,Tokuyama,JP,34.05,131.8167,62.91,92,100,4.88,Clouds
313,Hofn,IS,64.2539,-15.2082,43.48,88,100,5.57,Rain
314,Catamarca,AR,-28.4696,-65.7852,95.58,41,2,1.99,Clear
315,Gamba,GA,-2.65,10.0,79.2,84,100,11.3,Rain
316,Viedma,AR,-40.8135,-62.9967,59.45,49,95,29.37,Clouds
317,Ratnagiri,IN,16.9833,73.3,80.04,72,9,8.86,Clear
318,Shieli,KZ,44.1667,66.75,47.46,40,100,7.76,Clouds
319,Starup,DK,55.241,9.535,55.83,87,0,8.05,Rain
320,Sibolga,ID,1.7427,98.7792,77.59,89,100,2.26,Rain
321,Longonjo,AO,-12.9067,15.2533,82.36,42,100,1.88,Rain
322,Port Hardy,CA,50.6996,-127.4199,41.0,100,20,4.61,Clouds
323,Jaque,PA,7.5175,-78.1703,76.48,91,100,4.21,Rain
324,Pevek,RU,69.7008,170.3133,1.02,94,100,6.22,Clouds
325,Pemangkat,ID,1.1667,108.9667,80.87,81,82,2.19,Clouds
326,Olinda,BR,-8.0089,-34.8553,83.93,61,40,10.36,Clouds
327,Tongchuan,CN,35.0806,109.0897,56.61,58,84,3.98,Clouds
328,Cabo Rojo,PR,18.0866,-67.1457,88.97,66,0,5.99,Clear
329,Mosquera,CO,4.7059,-74.2302,64.49,63,40,2.3,Clouds
330,Tuatapere,NZ,-46.1333,167.6833,48.58,82,76,7.63,Clouds
331,Ambanja,MG,-13.6833,48.45,80.53,72,0,3.58,Clear
332,Choszczno,PL,53.169,15.4205,55.99,49,51,12.17,Clouds
333,Coahuayana,MX,18.7333,-103.6833,81.32,74,0,1.95,Clear
334,Jackson,US,42.4165,-122.8345,54.64,94,75,6.91,Clouds
335,Valparaiso,CL,-33.0393,-71.6273,64.63,74,40,6.91,Haze
336,Chervona Sloboda,UA,49.3789,32.1464,51.21,63,2,7.76,Clear
337,Luan,CH,46.3592,6.9759,50.04,78,100,4.0,Rain
338,Bonthe,SL,7.5264,-12.505,76.71,84,100,3.31,Clouds
339,High Level,CA,58.5169,-117.136,19.51,100,20,2.3,Clouds
340,Pacific Grove,US,36.6177,-121.9166,59.02,94,90,1.01,Mist
341,Meulaboh,ID,4.1363,96.1285,77.59,84,92,2.1,Clouds
342,San Patricio,US,28.017,-97.5169,70.52,24,0,4.94,Clear
343,Santa Cruz,BO,-17.8,-63.1667,89.65,58,75,11.5,Clouds
344,Sohbatpur,PK,28.5202,68.5434,78.26,14,0,3.18,Clear
345,Balkanabat,TM,39.5108,54.3671,59.76,47,93,4.05,Clouds
346,Avera,US,33.194,-82.5271,62.71,64,63,13.04,Clouds
347,Sainte-Suzanne,RE,-20.9061,55.6089,75.42,81,0,13.8,Clear
348,Pathanamthitta,IN,9.2667,76.7833,75.07,98,100,2.19,Rain
349,Chai Nat,TH,15.1167,100.1,76.59,91,92,3.24,Rain
350,Gondanglegi,ID,-7.7479,112.0132,77.49,90,100,7.18,Clouds
351,Kontagora,NG,10.3999,5.4695,93.6,23,54,3.62,Clouds
352,Kabalo,CD,-6.05,26.9167,86.45,52,76,7.49,Clouds
353,Kutum,SD,14.2,24.6667,87.48,11,11,6.71,Clouds
354,Buraydah,SA,26.326,43.975,86.45,18,0,8.72,Clear
355,Pasighat,IN,28.0667,95.3333,67.68,71,3,4.09,Clear
356,Yining,CN,29.0361,114.5636,60.98,78,21,1.99,Clouds
